dataset_fracao,dataset_porcentagem,epoca,precision,mAP50,mAP50-95
0.1,10,10,0.27093,0.09776,0.04989
0.1,10,20,0.77284,0.10058,0.05093
0.1,10,30,0.44805,0.11274,0.06313
0.1,10,40,0.39906,0.11313,0.06223
0.1,10,50,0.37056,0.11565,0.06364
0.1,10,60,0.48085,0.12174,0.06931
0.1,10,70,0.46856,0.13105,0.07184
0.1,10,80,0.47989,0.12553,0.07055
0.1,10,90,0.4874,0.12887,0.07409
0.1,10,100,0.50783,0.13151,0.07489
0.1,10,110,0.49656,0.12321,0.07128
0.1,10,120,0.498,0.13449,0.07774
0.1,10,130,0.49485,0.13833,0.08059
0.1,10,140,0.51425,0.14032,0.0805
0.1,10,150,0.38592,0.13775,0.08023
0.2,20,10,0.53421,0.29605,0.17103
0.2,20,20,0.60183,0.35957,0.22246
0.2,20,30,0.57838,0.38519,0.23626
0.2,20,40,0.53225,0.37036,0.23009
0.2,20,50,0.61509,0.40151,0.25172
0.2,20,60,0.58479,0.39092,0.2468
0.2,20,70,0.60851,0.38919,0.24542
0.2,20,80,0.60961,0.39366,0.25058
0.2,20,90,0.6142,0.39443,0.24862
0.2,20,100,0.5715,0.3908,0.24587
0.2,20,110,0.62263,0.40233,0.25565
0.2,20,120,0.62557,0.4059,0.25801
0.2,20,130,0.61818,0.39675,0.2528
0.2,20,140,0.58743,0.39567,0.25057
0.2,20,150,0.60921,0.39499,0.24877
0.3,30,10,0.60387,0.37021,0.22669
0.3,30,20,0.6182,0.4027,0.25942
0.3,30,30,0.6612,0.41786,0.27835
0.3,30,40,0.64433,0.43644,0.29532
0.3,30,50,0.64901,0.436,0.29914
0.3,30,60,0.64255,0.43811,0.30044
0.3,30,70,0.67519,0.45277,0.316
0.3,30,80,0.67423,0.4402,0.30702
0.3,30,90,0.69639,0.45628,0.31885
0.3,30,100,0.66433,0.46366,0.32552
0.3,30,110,0.68274,0.46312,0.32762
0.3,30,120,0.68287,0.46443,0.32974
0.3,30,130,0.69549,0.47049,0.33482
0.3,30,140,0.69084,0.47485,0.33891
0.3,30,150,0.72244,0.47138,0.33491
0.4,40,10,0.58908,0.37316,0.2436
0.4,40,20,0.61624,0.40132,0.27171
0.4,40,30,0.63793,0.44116,0.3023
0.4,40,40,0.66496,0.45311,0.31096
0.4,40,50,0.67099,0.44675,0.3115
0.4,40,60,0.65884,0.45163,0.31629
0.4,40,70,0.65938,0.45706,0.32693
0.4,40,80,0.66394,0.4629,0.32982
0.4,40,90,0.69025,0.47396,0.33989
0.4,40,100,0.68396,0.47537,0.3401
0.4,40,110,0.70254,0.47696,0.34337
0.4,40,120,0.70942,0.47426,0.34074
0.4,40,130,0.6993,0.47538,0.34315
0.4,40,140,0.70029,0.4797,0.3468
0.4,40,150,0.6961,0.4763,0.34618
0.5,50,10,0.54732,0.39062,0.25092
0.5,50,20,0.63176,0.43501,0.28932
0.5,50,30,0.64386,0.43484,0.29365
0.5,50,40,0.62895,0.43508,0.29819
0.5,50,50,0.63256,0.46369,0.32204
0.5,50,60,0.66545,0.46554,0.3225
0.5,50,70,0.65193,0.46991,0.32982
0.5,50,80,0.6378,0.46941,0.33269
0.5,50,90,0.65331,0.46856,0.33291
0.5,50,100,0.66815,0.467,0.33312
0.5,50,110,0.66674,0.47197,0.33889
0.5,50,120,0.66314,0.4711,0.33855
0.5,50,130,0.66548,0.46957,0.33861
0.5,50,140,0.66649,0.4682,0.33779
0.5,50,150,0.66986,0.46819,0.33844
0.6,60,10,0.5825,0.40181,0.25461
0.6,60,20,0.61708,0.42541,0.27935
0.6,60,30,0.63529,0.45513,0.30452
0.6,60,40,0.61547,0.4417,0.30651
0.6,60,50,0.625,0.45907,0.3215
0.6,60,60,0.62774,0.45497,0.3158
0.6,60,70,0.63781,0.46367,0.3264
0.6,60,80,0.65464,0.46649,0.32778
0.6,60,90,0.66431,0.46801,0.33038
0.6,60,100,0.63908,0.47143,0.33308
0.6,60,110,0.63722,0.47197,0.33352
0.6,60,120,0.64714,0.47114,0.33344
0.6,60,130,0.64715,0.47309,0.33501
0.6,60,140,0.65541,0.4742,0.3357
0.6,60,150,0.65445,0.4748,0.33582
0.7,70,10,0.60841,0.40263,0.26106
0.7,70,20,0.64558,0.44591,0.29426
0.7,70,30,0.63164,0.43542,0.29741
0.7,70,40,0.65216,0.4615,0.31598
0.7,70,50,0.64684,0.46943,0.3239
0.7,70,60,0.65847,0.47123,0.32871
0.7,70,70,0.6688,0.47297,0.33172
0.7,70,80,0.671,0.47887,0.33513
0.7,70,90,0.66651,0.48158,0.3375
0.7,70,100,0.67145,0.48299,0.33975
0.7,70,110,0.67752,0.48474,0.34177
0.7,70,120,0.67649,0.48639,0.34268
0.7,70,130,0.68005,0.48758,0.34432
0.7,70,140,0.68599,0.48855,0.34516
0.7,70,150,0.68625,0.48982,0.34723
0.8,80,10,0.59218,0.41192,0.2714
0.8,80,20,0.60152,0.44635,0.29875
0.8,80,30,0.63332,0.46845,0.31201
0.8,80,40,0.6648,0.4729,0.32379
0.8,80,50,0.65715,0.48495,0.33084
0.8,80,60,0.65397,0.48587,0.33362
0.8,80,70,0.64702,0.48696,0.33763
0.8,80,80,0.65168,0.48855,0.33819
0.8,80,90,0.65896,0.48986,0.33893
0.8,80,100,0.67378,0.49145,0.33996
0.8,80,110,0.66599,0.49305,0.34104
0.8,80,120,0.6729,0.49691,0.34325
0.8,80,130,0.67159,0.49834,0.34516
0.8,80,140,0.67701,0.50119,0.34807
0.8,80,150,0.68622,0.50386,0.35004
0.9,90,10,0.66069,0.57615,0.3586
0.9,90,20,0.64093,0.62547,0.40725
0.9,90,30,0.64053,0.63983,0.43209
0.9,90,40,0.66834,0.66073,0.45224
0.9,90,50,0.67424,0.66395,0.45873
0.9,90,60,0.68331,0.66893,0.46534
0.9,90,70,0.6801,0.66982,0.46747
0.9,90,80,0.68694,0.6716,0.46912
0.9,90,90,0.68917,0.6734,0.47121
0.9,90,100,0.68925,0.67471,0.47294
0.9,90,110,0.69126,0.6766,0.47454
0.9,90,120,0.69274,0.67616,0.47614
0.9,90,130,0.6948,0.67727,0.47786
0.9,90,140,0.69552,0.67909,0.47983
0.9,90,150,0.69976,0.67863,0.48178
1.0,100,10,0.59322,0.60557,0.39069
1.0,100,20,0.65129,0.64597,0.44561
1.0,100,30,0.68546,0.67736,0.46818
1.0,100,40,0.70369,0.68675,0.47954
1.0,100,50,0.70424,0.68639,0.484
1.0,100,60,0.71044,0.68713,0.48772
1.0,100,70,0.71181,0.69007,0.49075
1.0,100,80,0.71157,0.69276,0.4932
1.0,100,90,0.70775,0.6924,0.4954
1.0,100,100,0.71084,0.6928,0.49805
1.0,100,110,0.71248,0.69522,0.50091
1.0,100,120,0.71519,0.6971,0.5032
1.0,100,130,0.71691,0.69857,0.50593
1.0,100,140,0.72408,0.70107,0.50796
1.0,100,150,0.72705,0.70429,0.51111
