modelo,qtd_imagens,epoca,loss,mAP
Custom_FasterRCNN,1605,10,0.3702642356648165,6.481954187620431e-06
Custom_FasterRCNN,1605,20,0.3571656676484089,0.0020811446011066437
Custom_FasterRCNN,1605,30,0.34916849463593724,0.004344237502664328
Custom_FasterRCNN,1605,40,0.3329507255671071,0.013796458952128887
Custom_FasterRCNN,1605,50,0.3255321830511093,0.04177521541714668
Custom_FasterRCNN,1605,60,0.3139589247750301,0.07495900243520737
Custom_FasterRCNN,1605,70,0.3045654752675225,0.10720843821763992
Custom_FasterRCNN,1605,80,0.2958318117786856,0.14981837570667267
Custom_FasterRCNN,1605,90,0.28534235732228147,0.16913257539272308
Custom_FasterRCNN,1605,100,0.276555410787171,0.18581131100654602
Custom_FasterRCNN,1605,110,0.2663705194113301,0.1988573521375656
Custom_FasterRCNN,1605,120,0.25979211137575264,0.20508170127868652
Custom_FasterRCNN,1605,130,0.251973513879028,0.21850574016571045
Custom_FasterRCNN,1605,140,0.24572700963300817,0.22085484862327576
Custom_FasterRCNN,1605,150,0.23945014149534935,0.21812854707241058
Custom_FasterRCNN,3211,10,0.3532219124902593,0.0022883249912410975
Custom_FasterRCNN,3211,20,0.33114982492262773,0.027119619771838188
Custom_FasterRCNN,3211,30,0.316427948303742,0.09713176637887955
Custom_FasterRCNN,3211,40,0.29997036023305196,0.1561734527349472
Custom_FasterRCNN,3211,50,0.2865973175457208,0.21188879013061523
Custom_FasterRCNN,3211,60,0.27415400654962746,0.23187054693698883
Custom_FasterRCNN,3211,70,0.2660230038189652,0.25287020206451416
Custom_FasterRCNN,3211,80,0.25191374506690717,0.2564777135848999
Custom_FasterRCNN,3211,90,0.2421976136098994,0.26887935400009155
Custom_FasterRCNN,3211,100,0.23411992738152496,0.27246469259262085
Custom_FasterRCNN,3211,110,0.2259912002499741,0.2797205448150635
Custom_FasterRCNN,3211,120,0.21814749854626042,0.2779723107814789
Custom_FasterRCNN,3211,130,0.21159606655635457,0.28308841586112976
Custom_FasterRCNN,3211,140,0.20476158295232472,0.29238489270210266
Custom_FasterRCNN,3211,150,0.1976980875329216,0.28881460428237915
Custom_FasterRCNN,4817,10,0.34237381825778657,0.0070937881246209145
Custom_FasterRCNN,4817,20,0.3129474287790968,0.1125665232539177
Custom_FasterRCNN,4817,30,0.29151528086883344,0.19898943603038788
Custom_FasterRCNN,4817,40,0.2735935672624222,0.228044331073761
